State,Action,Reward,Next State,Predicted Energy,completed_batch_job,long_runnning_job
"[0, 9.545666666666666, 1.9515833333333334, -1, -1, 13.373166666666698, 3.9017499999999967, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",0,-7.259925773620604,"[0, 9.49675, 1.9450000000000005, -1, -1, 13.425583333333346, 3.89141666666666, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",72.59925773620604,0,0
"[0, 9.49675, 1.9450000000000005, -1, -1, 13.425583333333346, 3.89141666666666, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",1,-8.905142753601075,"[2, 10.611250000000002, 2.0284166666666663, 0.7919166666666667, -1, 13.933666666666666, 3.884, 7.077999999999999, -1, 0.0, -1, 19.6, -1, 0, 0, 0, 0]",89.05142753601075,0,0
"[2, 10.611250000000002, 2.0284166666666663, 0.7919166666666667, -1, 13.933666666666666, 3.884, 7.077999999999999, -1, 0.0, -1, 19.6, -1, 0, 0, 0, 0]",2,-7.688305118560789,"[0, 9.710666666666667, 1.9734166666666664, -1, -1, 13.799583333333334, 3.891833333333334, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",76.8830511856079,0,0
"[0, 9.710666666666667, 1.9734166666666664, -1, -1, 13.799583333333334, 3.891833333333334, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",0,-6.914971000671384,"[0, 9.51033333333333, 1.9417499999999996, -1, -1, 13.048166666666672, 3.891999999999993, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",69.14971000671385,0,0
"[0, 9.51033333333333, 1.9417499999999996, -1, -1, 13.048166666666672, 3.891999999999993, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",1,-8.298282127380373,"[2, 9.964833333333335, 2.03075, 0.855, -1, 13.216416666666666, 3.9175833333333334, 7.176916666666667, -1, 0.0, -1, 20.208333333333332, -1, 0, 0, 0, 0]",82.98282127380374,0,0
"[2, 9.964833333333335, 2.03075, 0.855, -1, 13.216416666666666, 3.9175833333333334, 7.176916666666667, -1, 0.0, -1, 20.208333333333332, -1, 0, 0, 0, 0]",2,-7.061124694824221,"[0, 9.40975, 1.9772500000000002, -1, -1, 13.176333333333332, 3.9042499999999998, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",70.61124694824221,0,0
"[0, 9.40975, 1.9772500000000002, -1, -1, 13.176333333333332, 3.9042499999999998, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",3,-9.030611190795899,"[1, 9.89975, 2.031, -1, 0.53325, 13.389999999999997, 3.9132499999999992, -1, 6.852, -1, 0.0, -1, 15.85, 0, 0, 0, 0]",90.30611190795898,0,0
"[1, 9.89975, 2.031, -1, 0.53325, 13.389999999999997, 3.9132499999999992, -1, 6.852, -1, 0.0, -1, 15.85, 0, 0, 0, 0]",0,-10.530494552612305,"[1, 9.654333333333335, 1.9404166666666662, -1, 0.8031666666666664, 13.385166666666652, 3.904333333333327, -1, 11.471083333333342, -1, 0.0, -1, 29.866666666666667, 0, 0, 0, 0]",105.30494552612305,0,0
"[1, 9.654333333333335, 1.9404166666666662, -1, 0.8031666666666664, 13.385166666666652, 3.904333333333327, -1, 11.471083333333342, -1, 0.0, -1, 29.866666666666667, 0, 0, 0, 0]",1,-12.393364662170416,"[3, 10.116916666666667, 2.0258333333333334, 0.521, 0.8199166666666665, 13.625583333333333, 3.8945833333333337, 7.076583333333333, 11.507250000000003, 0.0, 0.0, 19.966666666666665, 30.55, 0, 0, 0, 0]",123.93364662170417,0,0
"[3, 10.116916666666667, 2.0258333333333334, 0.521, 0.8199166666666665, 13.625583333333333, 3.8945833333333337, 7.076583333333333, 11.507250000000003, 0.0, 0.0, 19.966666666666665, 30.55, 0, 0, 0, 0]",0,-13.797047912597659,"[3, 9.837333333333337, 2.031166666666667, 0.8401666666666664, 0.8229166666666666, 13.554250000000033, 3.8914999999999997, 12.354666666666668, 11.522999999999984, 0.0, 0.0, 38.94166666666667, 31.0, 0, 0, 0, 0]",137.9704791259766,0,0
